BARCODE,split_no,SPCODE,SCIENTIFIC_NAME,SCIENTIFIC_NAME_shore,SURVEY_OPS,OTU_NAME,TOTAL_COUNT,TOTAL_WT_G,RETAINED_COUNT,RETAINED_WT_G,SITE_ID,GEAR,ON_BOTTOM_TIME,ON_BOTTOM_USBL_BEACON_LATITUDE,ON_BOTTOM_USBL_BEACON_LONGITUDE,ON_BOTTOM_USBL_BEACON_DEPTH_M,OFF_BOTTOM_TIME,OFF_BOTTOM_USBL_BEACON_LATITUDE,OFF_BOTTOM_USBL_BEACON_LONGITUDE,OFF_BOTTOM_USBL_BEACON_DEPTH_M,BOTTOM_DURATION_MINS
10073150,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_024,(null),100.00,6400.00,0,0,S5.1,McKenna semi V-wing fish trawl,3/05/2024 20:56,(null),(null),(null),3/05/2024 21:29,(null),(null),(null),33
10073360,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_043,(null),4.00,40.00,0,0,S9.2,McKenna semi V-wing fish trawl,5/05/2024 20:55,-40.628374,148.679936,-62.5,5/05/2024 21:16,-40.643762,148.669146,-62.42,21
10073466,1,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_053,(null),4.00,20.00,0,0,S11.1,McKenna semi V-wing fish trawl,6/05/2024 20:50,-40.594909,148.714739,-58.52,6/05/2024 21:07,-40.594122,148.733689,-39.87,17
10073466,2,35100000,Class Thaliacea,Cyclosalpa sp.,IN2024_V03_053,(null),4.00,20.00,0,0,S11.1,McKenna semi V-wing fish trawl,6/05/2024 20:50,-40.594909,148.714739,-58.52,6/05/2024 21:07,-40.594122,148.733689,-39.87,17
10073611,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_076,(null),4.00,135.00,4,135,N3.2,McKenna semi V-wing fish trawl,9/05/2024 4:46,-39.537952,148.678491,-108.1,9/05/2024 4:56,-39.546135,148.682066,-107.1,10
10073656,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_083,(null),6.00,150.00,0,0,N5.1,McKenna semi V-wing fish trawl,9/05/2024 21:53,-39.105381,148.651446,-387.1,9/05/2024 22:24,(null),(null),(null),31
10073655,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_083,(null),6.00,300.00,0,0,N5.1,McKenna semi V-wing fish trawl,9/05/2024 21:53,-39.105381,148.651446,-387.1,9/05/2024 22:24,(null),(null),(null),31
10073657,,35100000,Class Thaliacea,Cyclosalpa sp.,IN2024_V03_083,(null),3.00,10.00,0,0,N5.1,McKenna semi V-wing fish trawl,9/05/2024 21:53,-39.105381,148.651446,-387.1,9/05/2024 22:24,(null),(null),(null),31
10073718,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_092,(null),(null),120.00,0,0,N7.3,McKenna semi V-wing fish trawl,10/05/2024 21:44,-38.864078,148.486809,-327.4,10/05/2024 22:15,-38.865027,148.520226,-376.2,32
10073717,,35100000,Class Thaliacea,Class Thaliacea,IN2024_V03_092,(null),5.00,120.00,0,0,N7.3,McKenna semi V-wing fish trawl,10/05/2024 21:44,-38.864078,148.486809,-327.4,10/05/2024 22:15,-38.865027,148.520226,-376.2,32
10075044,,35100000,Class Thaliacea,Undifferentiated gelatinous,IN2024_V03_149,(null),1.00,1.00,0,0,N27.3,McKenna semi V-wing fish trawl,16/05/2024 20:50,-37.291586,150.290646,-181.6,16/05/2024 21:20,-37.316873,150.280716,-107.9,30
10075140,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_171,(null),2.00,90.00,0,0,N19.2,McKenna semi V-wing fish trawl,20/05/2024 20:54,-37.890447,149.987369,-142.7,20/05/2024 21:25,-37.912032,149.96537,-117.5,31
10075222,,35100000,Class Thaliacea,Thetys vagina,IN2024_V03_193,(null),1.00,55.00,0,0,N23.3,McKenna semi V-wing fish trawl,22/05/2024 20:58,-37.593918,150.204906,-159.1,22/05/2024 21:23,-37.609617,150.180665,-130.2,25
10075333,,35100000,Class Thaliacea,Class Thaliacea,IN2024_V03_212,(null),3.00,270.00,0,0,N31.2,McKenna semi V-wing fish trawl,24/05/2024 21:03,-36.95673,150.056586,-75.6,24/05/2024 21:33,-36.982492,150.042887,-59.33,30
10073673,,80600903,Jellies,Undifferentiated gelatinous,IN2024_V03_083,(null),1.00,20.00,1,20,N5.1,McKenna semi V-wing fish trawl,9/05/2024 21:53,-39.105381,148.651446,-387.1,9/05/2024 22:24,(null),(null),(null),31
10073725,,80600903,Jellies,Cyclosalpa sp.?,IN2024_V03_092,(null),1.00,3.00,0,0,N7.3,McKenna semi V-wing fish trawl,10/05/2024 21:44,-38.864078,148.486809,-327.4,10/05/2024 22:15,-38.865027,148.520226,-376.2,32
10075079,1,80600903,Jellies,Thetys vagina,IN2024_V03_162,(null),18.00,270.00,0,0,N17.3,McKenna semi V-wing fish trawl,19/05/2024 20:55,-38.093468,149.693281,-151.4,19/05/2024 21:26,-38.112589,149.670381,-151.8,31
10075079,2,80600903,Jellies,Cyclosalpa sp.?,IN2024_V03_162,(null),18.00,270.00,0,0,N17.3,McKenna semi V-wing fish trawl,19/05/2024 20:55,-38.093468,149.693281,-151.4,19/05/2024 21:26,-38.112589,149.670381,-151.8,31
10075350,,80600903,Jellies,Undifferentiated gelatinous,IN2024_V03_212,(null),1.00,10.00,0,0,N31.2,McKenna semi V-wing fish trawl,24/05/2024 21:03,-36.95673,150.056586,-75.6,24/05/2024 21:33,-36.982492,150.042887,-59.33,30
10070004,,35103000,Salpidae,Pyrostremma spinosum,IN2023_V05_010,(null),9.00,421.00,9,421,N1.2,McKenna semi V-wing fish trawl,30/06/2023 22:15,-40.350858,148.777346,-65.18,30/06/2023 22:30,-40.36143,148.769774,-67.89,14
10070071,,35103000,Salpidae,Thetys vagina,IN2023_V05_020,Salps,7.00,110.00,7,110,N3.2,McKenna semi V-wing fish trawl,1/07/2023 20:57,-40.096587,148.752493,-105.7,1/07/2023 21:22,-40.114827,148.742878,-121.5,25
10070184,,35103000,Salpidae,Cyclosalpa sp.?,IN2023_V05_031,(null),4.00,20.00,4,20,N5.2,McKenna semi V-wing fish trawl,2/07/2023 21:19,-39.535029,148.676298,-124.6,2/07/2023 21:46,-39.556725,148.687995,-111.6,27
10073250,,35103000,Salpidae,Thetys vagina,IN2024_V03_034,(null),3.00,40.00,0,0,S7.2,McKenna semi V-wing fish trawl,4/05/2024 20:50,-41.227653,148.439928,-132.2,4/05/2024 21:21,-41.254448,148.440979,-109,32
10073552,,35103000,Salpidae,Thetys vagina,IN2024_V03_072,(null),2.00,130.00,0,0,N3.1,McKenna semi V-wing fish trawl,8/05/2024 20:55,-39.487866,148.568563,-53.91,8/05/2024 21:19,-39.481316,148.593206,-43.81,24
10073076,,35103911,Thetys spp.,Cyclosalpa sp.?,IN2024_V03_014,(null),3.00,20.00,3,20,S3.2,McKenna semi V-wing fish trawl,2/05/2024 20:53,-41.859575,148.434922,-89.31,2/05/2024 21:25,-41.887071,148.435751,-84.23,32
10070107,,35103022,Thetys vagina,Thetys vagina,IN2023_V05_022,Salps,9.00,300.00,9,300,N3.3,McKenna semi V-wing fish trawl,2/07/2023 1:23,-40.053854,148.719825,-109.4,2/07/2023 1:48,-40.074068,148.709662,-88.09,26
10070140,,35103022,Thetys vagina,Thetys vagina,IN2023_V05_024,Salps,11.00,330.00,11,330,N3.1,McKenna semi V-wing fish trawl,2/07/2023 5:19,-40.044098,148.714092,-109.5,2/07/2023 5:54,-40.071174,148.701028,-72.36,34
10070183,,35103022,Thetys vagina,Thetys vagina,IN2023_V05_031,(null),(null),6700.00,(null),6700,N5.2,McKenna semi V-wing fish trawl,2/07/2023 21:19,-39.535029,148.676298,-124.6,2/07/2023 21:46,-39.556725,148.687995,-111.6,27
