VOYAGE,SAMPLE_TYPE,SAMPLE_BARCODE,PLATE_CODE,SURVEY_OPS,SAMPLE_DATETIME,SAMPLE_LATITUDE_DD,SAMPLE_LONGIDUDE_DD,SAMPLE_DEPTH_M,FISH_NO,SPCODE,SCIENTIFIC_NAME,COMMON_NAME,LENGTH_MM,LENGTH_CODE,WEIGHT_G,SEX_CODE,STAGE
IN2024_V03,muscle,10095985,B1-1A,IN2024_V03_216,25/05/2024 14:39,-36.942913,150.232886,124.7,5,37377003,Nemadactylus macropterus,Jackass Morwong,321,FL,524,,
IN2024_V03,muscle,10095997,B1-2A,IN2024_V03_216,25/05/2024 14:39,-36.942913,150.232886,124.7,3,37377003,Nemadactylus macropterus,Jackass Morwong,282,FL,392,,
IN2024_V03,muscle,10096091,B1-3A,IN2024_V03_216,25/05/2024 14:39,-36.942913,150.232886,124.7,4,37377003,Nemadactylus macropterus,Jackass Morwong,270,FL,328,,
IN2024_V03,muscle,10096121,B1-4A,IN2024_V03_216,25/05/2024 14:39,-36.942913,150.232886,124.7,2,37377003,Nemadactylus macropterus,Jackass Morwong,253,FL,250,,
IN2024_V03,muscle,10096151,B1-5A,IN2024_V03_216,25/05/2024 14:39,-36.942913,150.232886,124.7,1,37377003,Nemadactylus macropterus,Jackass Morwong,315,FL,484,,
IN2024_V03,muscle,10095174,B1-6A,IN2024_V03_223,26/05/2024 6:54,-36.860557,150.295874,144.2,5,37377003,Nemadactylus macropterus,Jackass Morwong,231,FL,182,,
IN2024_V03,muscle,10095204,B1-7A,IN2024_V03_223,26/05/2024 6:54,-36.860557,150.295874,144.2,4,37377003,Nemadactylus macropterus,Jackass Morwong,238,FL,212,,
IN2024_V03,muscle,10095508,B1-8A,IN2024_V03_223,26/05/2024 6:54,-36.860557,150.295874,144.2,3,37377003,Nemadactylus macropterus,Jackass Morwong,233,FL,202,,
IN2024_V03,muscle,10095998,B1-9A,IN2024_V03_223,26/05/2024 6:54,-36.860557,150.295874,144.2,1,37377003,Nemadactylus macropterus,Jackass Morwong,248,FL,232,,
IN2024_V03,muscle,10096064,B1-10A,IN2024_V03_223,26/05/2024 6:54,-36.860557,150.295874,144.2,2,37377003,Nemadactylus macropterus,Jackass Morwong,248,FL,220,,
IN2024_V03,muscle,10095858,B1-1B,IN2024_V03_227,26/05/2024 14:24,-36.860351,150.123467,93.44,2,37377003,Nemadactylus macropterus,Jackass Morwong,269,FL,316,F,
IN2024_V03,muscle,10095888,B1-2B,IN2024_V03_227,26/05/2024 14:24,-36.860351,150.123467,93.44,3,37377003,Nemadactylus macropterus,Jackass Morwong,313,FL,419,F,
IN2024_V03,muscle,10095918,B1-3B,IN2024_V03_227,26/05/2024 14:24,-36.860351,150.123467,93.44,4,37377003,Nemadactylus macropterus,Jackass Morwong,308,FL,487,F,
IN2024_V03,muscle,10095948,B1-4B,IN2024_V03_227,26/05/2024 14:24,-36.860351,150.123467,93.44,5,37377003,Nemadactylus macropterus,Jackass Morwong,334,FL,580,F,
IN2024_V03,muscle,10095977,B1-5B,IN2024_V03_227,26/05/2024 14:24,-36.860351,150.123467,93.44,1,37377003,Nemadactylus macropterus,Jackass Morwong,297,FL,415,M,
IN2024_V03,muscle,10097490,B1-6B,IN2024_V03_238,27/05/2024 16:10,-36.52339,150.282853,145.2,3,37377003,Nemadactylus macropterus,Jackass Morwong,230,FL,229,F,
IN2024_V03,muscle,10097499,B1-7B,IN2024_V03_238,27/05/2024 16:10,-36.52339,150.282853,145.2,4,37377003,Nemadactylus macropterus,Jackass Morwong,219,FL,192,M,
IN2024_V03,muscle,10097521,B1-8B,IN2024_V03_238,27/05/2024 16:10,-36.52339,150.282853,145.2,2,37377003,Nemadactylus macropterus,Jackass Morwong,243,FL,242,F,
IN2024_V03,muscle,10097530,B1-9B,IN2024_V03_238,27/05/2024 16:10,-36.52339,150.282853,145.2,5,37377003,Nemadactylus macropterus,Jackass Morwong,219,FL,219,M,
IN2024_V03,muscle,10097608,B1-10B,IN2024_V03_238,27/05/2024 16:10,-36.52339,150.282853,145.2,1,37377003,Nemadactylus macropterus,Jackass Morwong,257,FL,288,F,
IN2024_V03,muscle,10097319,B1-1C,IN2024_V03_244,28/05/2024 6:58,-36.396284,150.258536,128.1,1,37377003,Nemadactylus macropterus,Jackass Morwong,374,FL,848,,
IN2024_V03,muscle,10098735,B1-2C,IN2024_V03_248,28/05/2024 13:53,-36.380186,150.333916,328.5,1,37377003,Nemadactylus macropterus,Jackass Morwong,245,FL,272,,
