Tissue barcode ,tube number,otolith barcode,otoliths in box number,Box number (as written on the sample bag),box_for_mena,handed_over
10082525,1,,,8,1,31-Oct
10082584,3,,,8,1,31-Oct
10083305,5,,,8,1,31-Oct
10083335,6,,,8,1,31-Oct
10083284,11,,,8,1,31-Oct
10082521,15,,,8,1,31-Oct
10083145,13,,,8,1,31-Oct
10083257,16,,,8,1,31-Oct
10083295,17,,,8,1,31-Oct
10082576,18,,,8,1,31-Oct
10083323,19,,,8,1,31-Oct
10083277,2,,,8,1,31-Oct
10082551,4,,,8,1,31-Oct
10083279,7,,,8,1,31-Oct
10083288,8,,,8,1,31-Oct
10083348,9,,,8,1,31-Oct
10083316,10,,,8,1,31-Oct
10083314,12,,,8,1,31-Oct
10083278,14,,,8,1,31-Oct
10083281,20,,,8,1,31-Oct
10083034,21,,,,1,31-Oct
10082923,22,,,,1,31-Oct
10083119,23,,,,1,31-Oct
10082863,24,,,,1,31-Oct
10083057,25,,,,1,31-Oct
10082968,26,,,,1,31-Oct
10082965,27,,,,1,31-Oct
10083088,28,,,,1,31-Oct
10082953,29,,,,1,31-Oct
10082917,30,,,,1,31-Oct
10083011,31,,,,1,31-Oct
10082914,32,,,,1,31-Oct
10082941,33,,,,1,31-Oct
10083058,34,,,,1,31-Oct
10082173,35,,,,1,31-Oct
10083352,36,,,,1,31-Oct
10083161,37,,,,1,31-Oct
10083128,38,,,,1,31-Oct
10083130,39,,,,1,31-Oct
10082201,40,,,,1,31-Oct
10083158,41,,,,1,31-Oct
10082169,42,,,,1,31-Oct
10083114,43,,,,1,31-Oct
10083168,44,,,,1,31-Oct
10082108,45,,,,1,31-Oct
10083079,46,,,,1,31-Oct
10082074,47,,,,1,31-Oct
10082597,48,,,,1,31-Oct
10083155,49,,,,1,31-Oct
10083152,50,,,,1,31-Oct
10083231,51,,,,1,31-Oct
10082578,52,,,,1,31-Oct
10083092,53,,,,1,31-Oct
10083095,54,,,,1,31-Oct
10081492,55,,,,1,31-Oct
10083241,56,,,,1,31-Oct
10083266,57,,,,1,31-Oct
10083200,58,,,,1,31-Oct
10083265,59,,,,1,31-Oct
10082097,60,,,,1,31-Oct
10083319,61,,,,1,31-Oct
10083351,62,,,,1,31-Oct
10082677,63,,,11,2,9-Nov
10082621,64,,,11,2,9-Nov
10082788,65,,,11,2,9-Nov
10082648,66,,,11,2,9-Nov
10083175,67,,,11,2,9-Nov
10083146,68,,,11,2,9-Nov
10082679,69,,,11,2,9-Nov
10082647,70,,,11,2,9-Nov
10082817,71,,,11,2,9-Nov
10083043,72,,,11,2,9-Nov
10082628,73,,,11,2,9-Nov
10082624,74,,,11,2,9-Nov
10082636,75,,,11,2,9-Nov
10082682,76,,,11,2,9-Nov
10082932,77,,,11,2,9-Nov
10083075,78,,,11,2,9-Nov
10083042,79,,,11,2,9-Nov
10083141,80,,,11,2,9-Nov
10083172,81,,,11,2,9-Nov
10083012,82,,,11,2,9-Nov
10083078,83,,,11,2,9-Nov
10083178,84,,,11,2,9-Nov
10082652,85,,,11,2,9-Nov
10082712,86,,,11,2,9-Nov
10082711,87,,,11,2,9-Nov
10082685,88,,,11,2,9-Nov
10082680,89,,,11,2,9-Nov
10082803,90,,,12,2,9-Nov
10082709,91,,,12,2,9-Nov
10081880,92,,,12,2,9-Nov
10082784,93,,,12,2,9-Nov
10081919,94,,,12,2,9-Nov
10082786,95,,,12,2,9-Nov
10081171,96,,,12,2,9-Nov
10082775,97,,,12,2,9-Nov
10082902,98,,,12,2,9-Nov
10082764,99,,,12,2,9-Nov
10081881,100,,,12,2,9-Nov
10082402,101,,,12,2,9-Nov
10081960,102,,,12,2,9-Nov
10081146,103,,,12,2,9-Nov
10082908,104,,,12,2,9-Nov
10082392,105,,,12,2,9-Nov
10082011,106,,,12,2,9-Nov
10082361,107,,,12,2,9-Nov
10082010,108,,,12,2,9-Nov
10081977,109,,,12,2,9-Nov
10082745,110,,,12,2,9-Nov
10081110,111,,,12,2,9-Nov
10082363,112,,,12,2,9-Nov
10082353,113,,,12,2,9-Nov
10082396,114,,,12,2,9-Nov
10081170,115,,,12,2,9-Nov
10081954,116,,,12,2,9-Nov
10082811,117,,,12,2,9-Nov
10082424,118,,,12,2,9-Nov
10082763,119,,,12,2,9-Nov
10081080,120,,,12,2,9-Nov
10081188,121,,,12,2,9-Nov
10082742,122,,,12,2,9-Nov
10081176,123,,,12,2,9-Nov
10082842,124,,,12,2,9-Nov
10082737,125,,,12,2,9-Nov
10082735,126,,,12,2,9-Nov
10082700,127,,,12,2,9-Nov
10082643,128,,,12,2,9-Nov
