SPCODE,OTU_NAME,COUNT,WT_G,T_FIELD,OPER_ID,VOYAGE_ID,SITE_ID,VYG_OPN_NO,SPECIES_BARCODE,FISH_NO,LENGTH_MM,WEIGHT_G,LENGTH_CODE,SEX_CODE,TISSUE,BIOLOGICALS_COMMENTS,FISH_COMMENTS,DISSECTED_AT_SEA_Y_N,
37287001,(null),47,5064,T,24,IN2023_V05,N3.1,24,10070165,9,154,62,FL,M,10080657,(null),(null),Y,
37287001,(null),47,5064,T,24,IN2023_V05,N3.1,24,10070165,10,126,28,FL,(null),,bagged whole,(null),Y,
37287001,(null),47,5064,T,24,IN2023_V05,N3.1,24,10070165,11,203,122,FL,(null),10080410,(null),(null),Y,
37287001,(null),47,5064,T,24,IN2023_V05,N3.1,24,10070165,12,146,46,FL,(null),10080607,(null),(null),Y,
37287001,(null),47,5064,T,24,IN2023_V05,N3.1,24,10070165,13,123,28,FL,(null),,bagged whole,(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,1,222,152,FL,F,10080740,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,2,223,153,FL,F,10080776,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,3,223,146,FL,U,10080747,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,4,223,161,FL,(null),10080690,no gonad,(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,5,215,136,FL,F,10080723,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,6,222,143,FL,F,10080767,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,7,208,128,FL,F,10080541,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,8,208,109,FL,U,10080803,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,9,206,125,FL,U,10080498,(null),(null),Y,
37445006,(null),100,12544,T,24,IN2023_V05,N3.1,24,10070159,10,211,130,FL,U,10080580,(null),(null),Y,
37377003,(null),1,274,T,24,IN2023_V05,N3.1,24,10070169,1,266,274,FL,(null),10080761,(null),(null),Y,
37296001,(null),40,16372,T,31,IN2023_V05,N5.2,31,10070198,1,379,406,FL,F,10080905,operation 30, 3 July 2023,(null),Y
37296001,(null),40,16372,T,31,IN2023_V05,N5.2,31,10070198,2,368,329,FL,F,10080845,(null),(null),Y,
37296001,(null),40,16372,T,31,IN2023_V05,N5.2,31,10070198,3,368,344,FL,F,10080849,(null),(null),Y,
37296001,(null),40,16372,T,31,IN2023_V05,N5.2,31,10070198,4,380,364,FL,M,10080825,(null),(null),Y,
37296001,(null),40,16372,T,31,IN2023_V05,N5.2,31,10070198,5,352,326,FL,F,10080947,(null),(null),Y,
37296001,(null),40,16372,T,31,IN2023_V05,N5.2,31,10070198,6,296,180,FL,M,10080956,(null),(null),Y,
