SURVEY_OPS,FRACTION_SUBSAMPLED,TOT_wgt_G_upscaled,TOT_No_upscaled,SPCODE,FAMILY,SCIENTIFIC_NAME,COMMON_NAME,OTU_NAME,T_FIELD,COUNT,AM_SPECIMEN,ANFC_SPECIMEN,WT_G,LENGTH_CODE,MAX_LENGTH_MM,MEASURED_COUNT,WEIGHT_MEASURED,RESTSAM_WT_G,CALCULATED_WT_G,CALCULATED_COUNTS,SITE_ID,GEAR,ON_BOTTOM_TIME,ON_BOTTOM_LATITUDE,ON_BOTTOM_LONGITUDE,ON_BOTTOM_DEPTH_M,OFF_BOTTOM_TIME,OFF_BOTTOM_LATITUDE,OFF_BOTTOM_LONGITUDE,OFF_BOTTOM_DEPTH_M,BOTTOM_DURATION_MINS,AFMA_UnitCode,AFMA_UnitCodeName,AFMA_CodeNote
IN2023_V05_012,1,440,3,37465005,Monacanthidae,Meuschenia scaber,Velvet Leatherjacket,,T,3,,,440,FL,239,3,440,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,791,6,37445006,Centrolophidae,Seriolella punctata,Silver Warehou,,T,6,2,2,791,FL,228,6,791,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,TRS,Silver Warehou,
IN2023_V05_012,1,5402,2,37015001,Scyliorhinidae,Cephaloscyllium laticeps,Draughtboard Shark,,T,2,1,1,5402,TL,874,2,5402,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,1363,6,37028002,Narcinidae,Narcinops tasmaniensis,Tasmanian Numbfish,,T,6,2,2,1363,TL,357,6,1363,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,467,6,37390001,Pinguipedidae,Parapercis allporti,Barred Grubfish,,T,6,3,3,467,FL,210,6,467,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,432,2,37296001,Platycephalidae,Platycephalus richardsoni,Tiger Flathead,,T,2,,,432,FL,325,2,432,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,FLT,Flathead,
IN2023_V05_012,1,564,9,37287001,Sebastidae,Helicolenus percoides,Reef Ocean Perch,,T,9,1,1,564,FL,179,9,564,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,REG,Ocean Perch,
IN2023_V05_012,1,5478,2,37039001,Myliobatidae,Myliobatis tenuicaudatus,Southern Eagle Ray,,T,2,1,1,5478,DW,688,2,5478,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
IN2023_V05_012,1,147,1,37377003,Cheilodactylidae,Nemadactylus macropterus,Jackass Morwong,,T,1,,,147,FL,209,1,147,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,MOW,Jackass Morwong,
IN2023_V05_012,1,186,3,37120001,Paraulopidae,Paraulopus nigripinnis,Blacktip Cucumberfish,,T,3,,,186,SL,186,3,186,,,,N1.1,McKenna semi V-wing fish trawl,1/07/2023 3:06,-40.326173,148.767401,85,1/07/2023 3:24,-40.339184,148.757921,86,19,,,
