"","SPCODE","SITE_ID","LENGTH_MM","TISSUE","BIOLOGICALS_COMMENTS","SCIENTIFIC_NAME","COMMON_NAME"
"1",37287001,"N3.1",154,10080657,"(null)","Helicolenus percoides","Reef Ocean Perch"
"2",37287001,"N3.1",126,NA,"bagged whole","Helicolenus percoides","Reef Ocean Perch"
"3",37287001,"N3.1",203,10080410,"(null)","Helicolenus percoides","Reef Ocean Perch"
"4",37287001,"N3.1",146,10080607,"(null)","Helicolenus percoides","Reef Ocean Perch"
"5",37287001,"N3.1",123,NA,"bagged whole","Helicolenus percoides","Reef Ocean Perch"
"6",37445006,"N3.1",222,10080740,"(null)","Seriolella punctata","Silver Warehou"
"7",37445006,"N3.1",223,10080776,"(null)","Seriolella punctata","Silver Warehou"
"8",37445006,"N3.1",223,10080747,"(null)","Seriolella punctata","Silver Warehou"
"9",37445006,"N3.1",223,10080690,"no gonad","Seriolella punctata","Silver Warehou"
"10",37445006,"N3.1",215,10080723,"(null)","Seriolella punctata","Silver Warehou"
"11",37445006,"N3.1",222,10080767,"(null)","Seriolella punctata","Silver Warehou"
"12",37445006,"N3.1",208,10080541,"(null)","Seriolella punctata","Silver Warehou"
"13",37445006,"N3.1",208,10080803,"(null)","Seriolella punctata","Silver Warehou"
"14",37445006,"N3.1",206,10080498,"(null)","Seriolella punctata","Silver Warehou"
"15",37445006,"N3.1",211,10080580,"(null)","Seriolella punctata","Silver Warehou"
"16",37377003,"N3.1",266,10080761,"(null)","Nemadactylus macropterus","Jackass Morwong"
"17",37296001,"N5.2",379,10080905,"operation 30","Platycephalus richardsoni","Tiger Flathead"
"18",37296001,"N5.2",368,10080845,"(null)","Platycephalus richardsoni","Tiger Flathead"
"19",37296001,"N5.2",368,10080849,"(null)","Platycephalus richardsoni","Tiger Flathead"
"20",37296001,"N5.2",380,10080825,"(null)","Platycephalus richardsoni","Tiger Flathead"
"21",37296001,"N5.2",352,10080947,"(null)","Platycephalus richardsoni","Tiger Flathead"
"22",37296001,"N5.2",296,10080956,"(null)","Platycephalus richardsoni","Tiger Flathead"
"23",37296001,"N5.2",321,10080840,"(null)","Platycephalus richardsoni","Tiger Flathead"
"24",37296001,"N5.2",344,10081004,"(null)","Platycephalus richardsoni","Tiger Flathead"
"25",37296001,"N5.2",347,10080887,"(null)","Platycephalus richardsoni","Tiger Flathead"
"26",37296001,"N5.2",391,10080917,"(null)","Platycephalus richardsoni","Tiger Flathead"
"27",37337062,"N5.2",149,NA,"bagged whole","Pseudocaranx georgianus","Silver Trevally"
"28",37337062,"N5.2",127,NA,"bagged whole","Pseudocaranx georgianus","Silver Trevally"
"29",37287001,"N5.2",196,10081007,"(null)","Helicolenus percoides","Reef Ocean Perch"
"30",37287001,"N5.2",202,10081022,"(null)","Helicolenus percoides","Reef Ocean Perch"
"31",37287001,"N5.2",192,10080991,"(null)","Helicolenus percoides","Reef Ocean Perch"
"32",37287001,"N5.2",220,10080983,"(null)","Helicolenus percoides","Reef Ocean Perch"
"33",37287001,"N5.2",208,10081025,"(null)","Helicolenus percoides","Reef Ocean Perch"
"34",37287001,"N5.2",200,10080971,"(null)","Helicolenus percoides","Reef Ocean Perch"
"35",37287001,"N5.2",220,10080998,"(null)","Helicolenus percoides","Reef Ocean Perch"
"36",37287001,"N5.2",208,10080965,"(null)","Helicolenus percoides","Reef Ocean Perch"
"37",37287001,"N5.2",216,10080995,"(null)","Helicolenus percoides","Reef Ocean Perch"
"38",37287001,"N5.2",227,10080980,"(null)","Helicolenus percoides","Reef Ocean Perch"
"39",37038007,"N5.2",329,10081000,"(null)","Urolophus viridis","Greenback Stingaree"
"40",37038007,"N5.2",366,10080963,"(null)","Urolophus viridis","Greenback Stingaree"
"41",37038007,"N5.2",312,10080993,"(null)","Urolophus viridis","Greenback Stingaree"
"42",37038007,"N5.2",354,10081023,"(null)","Urolophus viridis","Greenback Stingaree"
"43",37038007,"N5.2",332,10080964,"(null)","Urolophus viridis","Greenback Stingaree"
"44",37038007,"N5.2",349,10081019,"(null)","Urolophus viridis","Greenback Stingaree"
"45",37038007,"N5.2",315,10081003,"(null)","Urolophus viridis","Greenback Stingaree"
"46",37038007,"N5.2",348,10080969,"(null)","Urolophus viridis","Greenback Stingaree"
"47",37038007,"N5.2",391,10081054,"(null)","Urolophus viridis","Greenback Stingaree"
"48",37038007,"N5.2",350,10081027,"(null)","Urolophus viridis","Greenback Stingaree"
"49",37017001,"N5.2",499,10081046,"(null)","Mustelus antarcticus","Gummy Shark"
"50",37017001,"N5.2",448,10081016,"(null)","Mustelus antarcticus","Gummy Shark"
"51",37017001,"N5.2",461,10081041,"(null)","Mustelus antarcticus","Gummy Shark"
"52",37017001,"N5.2",533,10081059,"(null)","Mustelus antarcticus","Gummy Shark"
"53",37017001,"N5.2",503,10081011,"(null)","Mustelus antarcticus","Gummy Shark"
"54",37017001,"N5.2",462,10080981,"(null)","Mustelus antarcticus","Gummy Shark"
"55",37017001,"N5.2",476,10081076,"(null)","Mustelus antarcticus","Gummy Shark"
"56",37017001,"N5.2",449,10081056,"(null)","Mustelus antarcticus","Gummy Shark"
"57",37445006,"N5.2",220,10080937,"no gonad","Seriolella punctata","Silver Warehou"
"58",37445006,"N5.2",209,10080832,"(null)","Seriolella punctata","Silver Warehou"
"59",37445006,"N5.2",200,10080960,"(null)","Seriolella punctata","Silver Warehou"
