"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"1",10082525,1,37296001,"N39.1",462,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"2",10083277,2,37330014,"N39.2",224,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"3",10082584,3,37296001,"N39.1",316,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"4",10082551,4,37330014,"N39.2",167,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"5",10083305,5,37296001,"N39.1",285,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"6",10083335,6,37296001,"N39.1",273,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"7",10083279,7,37330014,"N39.2",222,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"8",10083288,8,37330014,"N39.2",142,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"9",10083348,9,37330014,"N39.2",133,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"10",10083316,10,37330014,"N39.2",162,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"11",10083284,11,37296001,"N39.1",284,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"12",10083314,12,37330014,"N39.2",166,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"13",10083145,13,37439002,"N39.3",267,"Rexea solandri","Gemfish","Rexea solandri"
"14",10083278,14,37330014,"N39.2",173,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"15",10082521,15,37296001,"N39.1",325,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"16",10083257,16,37439002,"N39.3",251,"Rexea solandri","Gemfish","Rexea solandri"
"17",10083295,17,37439002,"N39.1",238,"Rexea solandri","Gemfish","Rexea solandri"
"18",10082576,18,37439002,"N39.1",258,"Rexea solandri","Gemfish","Rexea solandri"
"19",10083323,19,37439002,"N39.1",268,"Rexea solandri","Gemfish","Rexea solandri"
"20",10083281,20,37330014,"N39.2",208,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"21",10083034,21,37439002,"N41.3",273,"Rexea solandri","Gemfish","Rexea solandri"
"22",10082923,22,37439002,"N41.3",272,"Rexea solandri","Gemfish","Rexea solandri"
"23",10083119,23,37439002,"N41.3",256,"Rexea solandri","Gemfish","Rexea solandri"
"24",10082863,24,37445006,"N41.3",203,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"25",10083057,25,37445006,"N41.1",228,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"26",10082968,26,37445006,"N41.3",201,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"27",10082965,27,37445006,"N41.3",198,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"28",10083088,28,37445006,"N41.1",235,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"29",10082953,29,37296001,"N41.3",384,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"30",10082917,30,37330014,"N41.1",159,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"31",10083011,31,37330014,"N41.1",168,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"32",10082914,32,37330014,"N41.1",189,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"33",10082941,33,37038004,"N41.1",355,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"34",10083058,34,37038004,"N41.1",386,"Urolophus paucimaculatus","Sparsely-spotted Stingaree","Urolophus paucimaculatus"
"35",10082173,35,37465006,"N39.2",246,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"36",10083352,36,37465006,"N39.2",199,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"37",10083161,37,37465006,"N39.3",188,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"38",10083128,38,37465006,"N39.3",195,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"39",10083130,39,37465006,"N39.3",189,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"40",10082201,40,37465006,"N39.2",313,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"41",10083158,41,37465006,"N39.3",200,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"42",10082169,42,37465006,"N39.2",199,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"43",10083114,43,37465006,"N39.3",146,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"44",10083168,44,37465006,"N39.3",188,"Nelusetta ayraud","Ocean Jacket","Nelusetta ayraud"
"45",10082108,45,37296001,"N39.2",221,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"46",10083079,46,37296001,"N39.3",339,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"47",10082074,47,37296001,"N39.2",280,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"48",10082597,48,37296001,"N39.2",299,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"49",10083155,49,37296001,"N39.3",309,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"50",10083152,50,37296001,"N39.3",449,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"51",10083231,51,37296001,"N39.3",278,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"52",10082578,52,37296001,"N39.2",346,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"53",10083092,53,37296001,"N39.3",241,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"54",10083095,54,37296001,"N39.3",258,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"55",10081492,55,37439002,"N39.2",250,"Rexea solandri","Gemfish","Rexea solandri"
"56",10083241,56,37287001,"N39.3",216,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"57",10083266,57,37445006,"N39.3",190,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"58",10083200,58,37445006,"N39.3",187,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"59",10083265,59,37445006,"N39.3",195,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"60",10082097,60,37445006,"N39.2",195,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"61",10083319,61,37445006,"N39.2",212,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"62",10083351,62,37445006,"N39.2",198,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"63",10082677,63,37228002,"N45.2",888,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"64",10082621,64,37228002,"N45.2",723,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"65",10082788,65,37228002,"N45.2",547,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"66",10082648,66,37227001,"N45.2",439,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"67",10083175,67,37228002,"N45.2",538,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"68",10083146,68,37228002,"N45.2",629,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"69",10082679,69,37228002,"N45.2",623,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"70",10082647,70,37228002,"N45.2",483,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"71",10082817,71,37228002,"N45.2",581,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"72",10083043,72,37228002,"N45.3",486,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"73",10082628,73,37228002,"N45.3",588,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"74",10082624,74,37227001,"N45.3",336,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"75",10082636,75,37227001,"N45.3",323,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"76",10082682,76,37227001,"N45.2",411,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"77",10082932,77,37227001,"N45.2",438,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"78",10083075,78,37445006,"N45.3",270,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"79",10083042,79,37445006,"N45.3",304,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"80",10083141,80,37439002,"N45.3",278,"Rexea solandri","Gemfish","Rexea solandri"
"81",10083172,81,37439002,"N45.3",294,"Rexea solandri","Gemfish","Rexea solandri"
"82",10083012,82,37445006,"N45.3",256,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"83",10083078,83,37445006,"N45.3",279,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"84",10083178,84,37439002,"N45.3",289,"Rexea solandri","Gemfish","Rexea solandri"
"85",10082652,85,37227001,"N45.2",429,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"86",10082712,86,37227001,"N45.2",412,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"87",10082711,87,37227001,"N45.2",434,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"88",10082685,88,37439002,"N45.2",253,"Rexea solandri","Gemfish","Rexea solandri"
"89",10082680,89,37227001,"N45.2",423,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"90",10082803,90,37296001,"N43.2",391,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"91",10082709,91,37296001,"N43.2",462,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"92",10081880,92,37296001,"N43.1",285,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"93",10082784,93,37296001,"N43.2",312,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
