SPCODE,SCIENTIFIC_NAME,COMMON_NAME,OPER_ID,VOYAGE_ID,SITE_ID,SPECIES_BARCODE,WEIGHT_G,LENGTH_MM,SEX,SEX_CODE,OTOLITH,OTOLITH_COMMENT,GONAD,TISSUE,STOMACH,HINDGUT,BIOLOGICALS_COMMENTS,FISH_COMMENTS,Species_size
37287001,Helicolenus percoides,Reef Ocean Perch,24,IN2023_V05,N3.1,10070165,62,154,u,M,(null),(null),(null),10080657,10080618,10080522,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,24,IN2023_V05,N3.1,10070165,28,126,(null),(null),(null),(null),(null),(null),10080765,(null),bagged whole,(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,24,IN2023_V05,N3.1,10070165,122,203,m,(null),(null),(null),(null),10080410,10080553,10080525,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,24,IN2023_V05,N3.1,10070165,46,146,m,(null),(null),(null),(null),10080607,10080357,10080550,(null),(null),Helicolenus percoides
37287001,Helicolenus percoides,Reef Ocean Perch,24,IN2023_V05,N3.1,10070165,28,123,(null),(null),(null),(null),(null),(null),10080606,(null),bagged whole,(null),Helicolenus percoides
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,152,222,f,F,10080749,(null),10080770,10080740,10080737,10080800,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,153,223,f,F,10080806,(null),10080779,10080776,10080743,10080783,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,146,223,u,U,10080796,(null),10080792,10080747,10080736,10080766,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,161,223,(null),(null),10080664,(null),(null),10080690,10080691,10080790,no gonad,(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,136,215,f,F,10080753,(null),10080809,10080723,10080805,10080769,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,143,222,f,F,10080720,(null),10080780,10080767,10080746,10080750,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,128,208,f,F,10080601,(null),10080293,10080541,10080543,10080571,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,109,208,u,U,10080773,(null),10080639,10080803,10080384,10080507,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,125,206,u,U,10080537,(null),10080417,10080498,10080509,10080536,(null),(null),Seriolella punctata
37445006,Seriolella punctata,Silver Warehou,24,IN2023_V05,N3.1,10070159,130,211,u,U,10080539,(null),10080613,10080580,10080631,10080517,(null),(null),Seriolella punctata
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,406,379,f,F,10080935,(null),10080837,10080905,10080838,10080876,operation 30,3 July 2023,Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,329,368,f,F,10080909,(null),10080945,10080845,10080875,10080939,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,344,368,f,F,10080821,(null),10080848,10080849,10080879,10080915,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,364,380,m,M,10080855,(null),10080885,10080825,10080851,10080850,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,326,352,f,F,10080856,(null),10080886,10080947,10080946,10080916,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,180,296,m,M,10080814,(null),10080813,10080956,10080826,10080843,(null),(null),Platycephalus richardsoni_sm
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,230,321,m,M,10080842,(null),10080872,10080840,10080932,10080902,(null),(null),Platycephalus richardsoni_lg
37296001,Platycephalus richardsoni,Tiger Flathead,31,IN2023_V05,N5.2,10070198,286,344,f,F,10080827,(null),10081061,10081004,10081031,10081052,(null),(null),Platycephalus richardsoni_lg
