"","Gear","SURVEY","OPS","SURVEY_OPS","SITE_ID","GEAR","DEPLOYED_TIME","ON_BOTTOM_TIME","ON_BOTTOM_LATITUDE","ON_BOTTOM_LONGITUDE","ON_BOTTOM_DEPTH_M","ON_BOTTOM_SALINITY_TSG","ON_BOTTOM_SEAWATER_TEMPERATURE_DEG_C","ON_BOTTOM_USBL_BEACON_DEPTH_M","ON_BOTTOM_USBL_BEACON_LATITUDE","ON_BOTTOM_USBL_BEACON_LONGITUDE","OFF_BOTTOM_TIME","OFF_BOTTOM_LATITUDE","OFF_BOTTOM_LONGITUDE","OFF_BOTTOM_DEPTH_M","OFF_BOTTOM_SALINITY_TSG","OFF_BOTTOM_SEAWATER_TEMPERATURE_DEG_C","OFF_BOTTOM_USBL_BEACON_DEPTH_M","OFF_BOTTOM_USBL_BEACON_LATITUDE","OFF_BOTTOM_USBL_BEACON_LONGITUDE","RETRIEVED_TIME","BOTTOM_DURATION_MINS","SURVEY.1","BARCODE","split_no","SPCODE","SCIENTIFIC_NAME","SCIENTIFIC_NAME_shore","OTU_NAME","TOTAL_COUNT","TOTAL_WT_G","RETAINED_WT_G"
"1","Trawl","IN2024_V03",265,"IN2024_V03_265","N41.3","McKenna semi V-wing fish trawl","29/05/2024 23:32","29/05/2024 23:53",-35.959592,150.253688,88,35.137,18.842,"-87.18","-35.962571","150.254482","30/05/2024 0:23",-35.93347,150.252773,79,35.206,19.33,"-70.16","-35.935812","150.253359","30/05/2024 0:50",30,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Trawl","IN2024_V03",263,"IN2024_V03_263","N41.1","McKenna semi V-wing fish trawl","29/05/2024 20:28","29/05/2024 20:50",-36.055968,150.22431,93,35.246,18.958,"-92.45","-36.059022","150.224407","29/05/2024 21:22",-36.029253,150.229035,93,35.338,19.319,"-73.89","-36.031633","150.229077","29/05/2024 21:59",32,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Trawl","IN2024_V03",258,"IN2024_V03_258","N41.2","McKenna semi V-wing fish trawl","29/05/2024 6:23","29/05/2024 6:48",-35.976689,150.300173,113,35.484,20.094,"-111.9","-35.980148","150.299991","29/05/2024 7:16",-35.952636,150.304605,113,35.482,20.103,"-108.2","-35.956022","150.304665","29/05/2024 7:28",29,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Trawl","IN2024_V03",256,"IN2024_V03_256","N39.2","McKenna semi V-wing fish trawl","29/05/2024 0:00","29/05/2024 0:23",-36.26105,150.331853,141,35.457,19.173,"-142.2","-36.26531","150.331339","29/05/2024 0:55",-36.23499,150.340444,139,35.448,19.199,"-125.6","-36.238096","150.340171","29/05/2024 1:19",32,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Trawl","IN2024_V03",254,"IN2024_V03_254","N39.3","McKenna semi V-wing fish trawl","28/05/2024 20:32","28/05/2024 21:06",-36.300754,150.350268,376,35.486,19.3,"-400","-36.309535","150.347247","28/05/2024 21:38",-36.276153,150.359545,355,35.511,19.568,"-397.8","-36.283871","150.357167","28/05/2024 22:16",31,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Trawl","IN2024_V03",248,"IN2024_V03_248","N39.1","McKenna semi V-wing fish trawl","28/05/2024 3:22","28/05/2024 3:53",-36.372085,150.336104,331,35.53,19.965,"-328.5","-36.380186","150.333916","28/05/2024 4:22",-36.347944,150.345428,383,35.528,19.981,"-360","-36.356307","150.343161","28/05/2024 5:01",29,"IN2024_V03",10075564,NA,35103022,"Thetys vagina","Thetys vagina","(null)",2,20,0
"7","Trawl","IN2024_V03",246,"IN2024_V03_246","N37.1","McKenna semi V-wing fish trawl","27/05/2024 23:56","28/05/2024 0:28",-36.374631,150.317838,195,35.438,19.075,"-189.1","-36.369109","150.318266","28/05/2024 0:54",-36.396261,150.313207,201,35.493,19.498,"-198.3","-36.390742","150.313484","28/05/2024 1:26",26,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Trawl","IN2024_V03",244,"IN2024_V03_244","N37.2","McKenna semi V-wing fish trawl","27/05/2024 20:25","27/05/2024 20:58",-36.399977,150.257073,128,35.416,19.096,"-128.1","-36.396284","150.258536","27/05/2024 21:24",-36.419311,150.244152,125,35.443,19.188,"-85.98","-36.41637","150.245049","27/05/2024 21:47",25,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Trawl","IN2024_V03",238,"IN2024_V03_238","N37.3","McKenna semi V-wing fish trawl","27/05/2024 5:40","27/05/2024 6:10",-36.518814,150.284441,146,35.399,19.071,"-145.2","-36.52339","150.282853","27/05/2024 6:38",-36.495603,150.29659,182,35.379,19.054,"-175","-36.500018","150.294979","27/05/2024 6:55",28,"IN2024_V03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Trawl","IN2024_V03",237,"IN2024_V03_237","N35.2","McKenna semi V-wing fish trawl","27/05/2024 3:32","27/05/2024 3:52",-36.559713,150.153564,99,35.409,19.384,"-98.87","-36.555778","150.153926","27/05/2024 4:18",-36.582125,150.144867,97,35.499,19.506,"-96.19","-36.578229","150.145113","27/05/2024 4:36",26,"IN2024_V03",10075462,NA,35103022,"Thetys vagina","Thetys vagina","(null)",1,75,0
