SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME
37287001,N3.1,154,10080657,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N3.1,126,NA,bagged whole,Helicolenus percoides,Reef Ocean Perch
37287001,N3.1,203,10080410,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N3.1,146,10080607,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N3.1,123,NA,bagged whole,Helicolenus percoides,Reef Ocean Perch
37445006,N3.1,222,10080740,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,223,10080776,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,223,10080747,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,223,10080690,no gonad,Seriolella punctata,Silver Warehou
37445006,N3.1,215,10080723,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,222,10080767,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,208,10080541,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,208,10080803,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,206,10080498,(null),Seriolella punctata,Silver Warehou
37445006,N3.1,211,10080580,(null),Seriolella punctata,Silver Warehou
37377003,N3.1,266,10080761,(null),Nemadactylus macropterus,Jackass Morwong
37296001,N5.2,379,10080905,operation 30,Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,368,10080845,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,368,10080849,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,380,10080825,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,352,10080947,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,296,10080956,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,321,10080840,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,344,10081004,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,347,10080887,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N5.2,391,10080917,(null),Platycephalus richardsoni,Tiger Flathead
37337062,N5.2,149,NA,bagged whole,Pseudocaranx georgianus,Silver Trevally
37337062,N5.2,127,NA,bagged whole,Pseudocaranx georgianus,Silver Trevally
37287001,N5.2,196,10081007,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N5.2,202,10081022,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N5.2,192,10080991,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N5.2,220,10080983,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N5.2,208,10081025,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N5.2,200,10080971,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N5.2,220,10080998,(null),Helicolenus percoides,Reef Ocean Perch
