"","SPCODE","SITE_ID","LENGTH_MM","TISSUE","BIOLOGICALS_COMMENTS","SCIENTIFIC_NAME","COMMON_NAME","choose","Species_size","Tube_no"
"1",37330014,"N25.3",225,10083874,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"2",37330014,"N25.3",183,10084412,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"3",37330014,"N25.3",181,10084475,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",390
"4",37330014,"N25.3",171,10084472,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"5",37330014,"N25.3",172,10084443,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"6",37330014,"N25.3",195,10084410,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"7",37330014,"N25.3",166,10084408,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",382
"8",37330014,"N25.3",186,10084404,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"9",37330014,"N25.3",189,10084384,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"10",37330014,"N25.3",197,10084409,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",389
"11",37296001,"N25.3",298,10084449,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",384
"12",37296001,"N25.3",282,10084444,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",381
"13",37296001,"N25.3",295,10084417,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",383
"14",37465006,"N33.3",352,10082432,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",176
"15",37465006,"N35.1",220,10083530,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",219
"16",37296001,"N35.1",250,10083407,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"17",37296001,"N35.1",239,10083379,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",208
"18",37296001,"N35.1",248,10084117,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",207
"19",37296001,"N35.1",218,10084087,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"20",37296001,"N35.1",220,10083497,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",209
"21",37296001,"N35.1",229,10083522,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"22",37296001,"N35.1",188,10083554,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"23",37296001,"N35.2",250,10083657,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",210
"24",37296001,"N35.2",298,10083659,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",211
"25",37296001,"N39.1",264,10083282,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"26",37296001,"N39.1",284,10083284,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",11
"27",37296001,"N39.1",273,10083335,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",6
"28",37296001,"N39.1",285,10083305,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",5
"29",37296001,"N39.1",144,10083276,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"30",37296001,"N39.1",195,10083342,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"31",37330014,"N39.1",152,10083243,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"32",37330014,"N39.1",155,10083183,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"33",37330014,"N39.1",200,10082564,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"34",37330014,"N39.1",159,10082594,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"35",37330014,"N39.1",146,10082582,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"36",37330014,"N39.1",147,10082600,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"37",37330014,"N39.1",157,10082534,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"38",37330014,"N39.1",144,10082580,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"39",37330014,"N39.1",141,10082562,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"40",37330014,"N39.1",143,10083184,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"41",37296001,"N39.2",281,10082579,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"42",37296001,"N39.2",299,10082597,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",48
"43",37296001,"N39.2",254,10082220,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"44",37296001,"N39.2",280,10082074,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",47
"45",37296001,"N39.2",206,10082103,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"46",37296001,"N39.2",221,10082108,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",45
"47",37296001,"N39.2",253,10082069,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"48",37296001,"N39.2",248,10081401,"tissue and gonads in same bag","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"49",37465006,"N39.2",199,10083352,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",36
"50",37465006,"N39.2",246,10082173,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",35
"51",37465006,"N39.2",199,10082169,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",42
"52",37465006,"N39.2",313,10082201,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",40
"53",37330014,"N39.2",208,10083281,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",20
"54",37330014,"N39.2",133,10083348,"gonad lost","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",9
"55",37330014,"N39.2",142,10083288,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",8
"56",37330014,"N39.2",222,10083279,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",7
"57",37330014,"N39.2",167,10082551,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",4
"58",37330014,"N39.2",217,10083317,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"59",37330014,"N39.2",173,10083278,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",14
"60",37330014,"N39.2",166,10083314,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",12
"61",37330014,"N39.2",162,10083316,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",10
"62",37330014,"N39.2",224,10083277,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",2
"63",37296001,"N39.3",241,10083092,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",53
"64",37296001,"N39.3",205,10083094,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"65",37296001,"N39.3",258,10083095,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",54
"66",37296001,"N39.3",290,10083019,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"67",37296001,"N39.3",278,10083231,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",51
"68",37296001,"N39.3",219,10083122,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"69",37465006,"N39.3",146,10083114,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",43
"70",37465006,"N39.3",188,10083168,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",44
"71",37465006,"N39.3",188,10083161,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",37
"72",37465006,"N39.3",200,10083158,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",41
"73",37465006,"N39.3",195,10083128,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",38
"74",37465006,"N39.3",189,10083130,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",39
"75",37330014,"N39.3",160,10083329,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"76",37330014,"N39.3",205,10083196,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"77",37330014,"N39.3",170,10083250,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"78",37330014,"N39.3",196,10083201,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"79",37330014,"N39.3",173,10083192,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"80",37330014,"N39.3",207,10083255,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"81",37330014,"N39.3",152,10083234,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"82",37330014,"N39.3",173,10083299,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"83",37330014,"N39.3",158,10083212,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"84",37330014,"N39.3",167,10083186,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"85",37330014,"N41.1",168,10083011,"shot2","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",31
"86",37330014,"N41.1",158,10083065,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"87",37330014,"N41.1",164,10083005,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"88",37330014,"N41.1",171,10082978,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"89",37330014,"N41.1",159,10082917,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",30
"90",37330014,"N41.1",171,10082926,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"91",37330014,"N41.1",188,10082986,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"92",37330014,"N41.1",189,10082914,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",32
"93",37330014,"N41.1",212,10082951,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"94",37330014,"N41.1",212,10080757,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"95",37465006,"N43.1",216,10082908,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",104
"96",37465006,"N43.1",199,10081171,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",96
"97",37465006,"N43.1",223,10082842,"(null)","Nelusetta ayraud","Ocean Jacket","y","Nelusetta ayraud",124
"98",37330014,"N43.1",195,10082402,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",101
"99",37330014,"N43.1",197,10081932,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"100",37330014,"N43.1",169,10082693,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"101",37330014,"N43.1",153,10081919,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",94
"102",37330014,"N43.1",163,10082341,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"103",37330014,"N43.1",177,10081960,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",102
"104",37330014,"N43.1",176,10081994,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"105",37330014,"N43.1",171,10082392,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",105
"106",37330014,"N43.1",169,10082738,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"107",37330014,"N43.1",173,10082775,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",97
"108",37296001,"N43.1",262,10082764,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",99
"109",37296001,"N43.1",285,10082761,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"110",37296001,"N43.1",278,10082906,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"111",37296001,"N43.1",299,10082909,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",NA
"112",37296001,"N43.1",299,10082902,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",98
"113",37296001,"N43.1",285,10081880,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",92
"114",37296001,"N43.2",261,10082735,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",126
"115",37296001,"N43.2",214,10082800,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",129
"116",37296001,"N43.2",229,10082742,"(null)","Platycephalus richardsoni","Tiger Flathead","y","Platycephalus richardsoni_sm",122
"117",37330014,"N43.2",183,10082769,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"118",37330014,"N43.2",164,10082768,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"119",37330014,"N43.2",197,10082719,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"120",37330014,"N43.2",223,10082722,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"121",37330014,"N43.2",178,10082777,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"122",37330014,"N43.2",214,10082671,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"123",37330014,"N43.2",220,10082644,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"124",37330014,"N43.2",158,10082752,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"125",37330014,"N43.2",188,10082701,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
"126",37330014,"N43.2",165,10082672,"(null)","Sillago flindersi","Eastern School Whiting","y","Sillago flindersi",NA
